ENTAILMENT	( ( ( a ( little girl ) ) ( in ( ( a walker ) ( that ( looks ( like she ) ) ) ) ) ) ( ( may ( ( be ( up ( to no ) ) ) good ) ) . ) )	( child smile )	a little girl in a walker that looks like she may be up to no good .	child smile
ENTAILMENT	( ( ( ( Cute ( little girl ) ) , ) ( with ( a ( pink hair ) ) ) ) ( ( bow ( her ( orange stroller ) ) ) . ) )	( child smile )	Cute little girl , with a pink hair bow her orange stroller .	child smile
ENTAILMENT	( ( Young girl ) ( ( ( stands ( in ( her ( baby carriage ) ) ) ) ( on ( the grass ) ) ) . ) )	( child smile )	Young girl stands in her baby carriage on the grass .	child smile
ENTAILMENT	( ( Baby ( in ( ( a ( rolling harness ) ) ( in ( the grass ) ) ) ) ) . )	( child smile )	Baby in a rolling harness in the grass .	child smile
NONENTAILMENT	( ( ( A man ) ( wearing ( ( ( ( ( ( an ( orange shirt ) ) , ) ( camouflage pants ) ) , ) and ) ( a ( protective mask ) ) ) ) ) ( ( uses ( a ( chainsaw ( to ( ( chop down ) ( ( a tree ) ( on ( the sidewalk ) ) ) ) ) ) ) ) . ) )	( child smile )	A man wearing an orange shirt , camouflage pants , and a protective mask uses a chainsaw to chop down a tree on the sidewalk .	child smile
NONENTAILMENT	( child smile )	( ( ( A man ) ( wearing ( ( ( ( ( ( an ( orange shirt ) ) , ) ( camouflage pants ) ) , ) and ) ( a ( protective mask ) ) ) ) ) ( ( uses ( a ( chainsaw ( to ( ( chop down ) ( ( a tree ) ( on ( the sidewalk ) ) ) ) ) ) ) ) . ) )	child smile	A man wearing an orange shirt , camouflage pants , and a protective mask uses a chainsaw to chop down a tree on the sidewalk .
NONENTAILMENT	( ( ( A person ) ( working ( for ( the city ) ) ) ) ( ( begins ( ( cutting down ) ( a tree ) ) ) . ) ( child smile )	A person working for the city begins cutting down a tree .	child smile
NONENTAILMENT	( child smile )	( ( ( A person ) ( working ( for ( the city ) ) ) ) ( ( begins ( ( cutting down ) ( a tree ) ) ) . ) )	child smile	A person working for the city begins cutting down a tree .
NONENTAILMENT	( ( ( A working ) ( ( cutting ( ( a tree ) ( with ( an ( orange vest ) ) ) ) ) on ) ) . )	( child smile )	A working cutting a tree with an orange vest on .	child smile
NONENTAILMENT	( child smile )	( ( ( A working ) ( ( cutting ( ( a tree ) ( with ( an ( orange vest ) ) ) ) ) on ) ) . )	child smile	A working cutting a tree with an orange vest on .
